id	label	description	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Journal impact factor>
32	adp llc (adpa-non-standard)	<table><tr><td>ADP LLC (ADPA-Non-standard)</td></tr><tr><td>Peso: 5</td></tr></table>	-0.1598	-0.6485	16	5	5	5	1
33	shimadzu corp (shma-c)	<table><tr><td>SHIMADZU CORP (SHMA-C)</td></tr><tr><td>Peso: 9</td></tr></table>	0.4293	0.8435	10	9	9	9	1
34	leadtek .. (lead-non-standard)	<table><tr><td>LEADTEK RES INC (LEAD-Non-standard)</td></tr><tr><td>Peso: 2</td></tr></table>	0.5858	-0.2237	16	2	2	2	1
35	telefona..ricsson l m (telf-c)	<table><tr><td>TELEFONAKTIEBOLAGET ERICSSON L M (TELF-C)</td></tr><tr><td>Peso: 6</td></tr></table>	-0.515	0.462	18	15	15	15	1
36	kvernvik t (kver-individual)	<table><tr><td>KVERNVIK T (KVER-Individual)</td></tr><tr><td>Peso: 2</td></tr></table>	0.9909	-0.9178	18	2	2	2	1
37	svensson m (sven-individual)	<table><tr><td>SVENSSON M (SVEN-Individual)</td></tr><tr><td>Peso: 2</td></tr></table>	0.2998	-0.9298	18	2	2	2	1
38	telefon ..publ ab l m (telf-c)	<table><tr><td>TELEFON ERICSSON PUBL AB L M (TELF-C)</td></tr><tr><td>Peso: 2</td></tr></table>	-0.6479	-0.0256	18	2	2	2	1
39	wuhan do..logy co ltd (doyu-c)	<table><tr><td>WUHAN DOUYU NETWORK TECHNOLOGY CO LTD (DOYU-C)</td></tr><tr><td>Peso: 2</td></tr></table>	-0.194	0.9871	4	2	2	2	1
40	beijing .. (beij-non-standard)	<table><tr><td>BEIJING LIANGLIANG VISION TECHNOLOGY CO (BEIJ-Non-standard)</td></tr><tr><td>Peso: 2</td></tr></table>	-0.5575	-0.6989	4	2	2	2	1
41	henan sc..nology inst (hesc-c)	<table><tr><td>HENAN SCI & TECHNOLOGY INST (HESC-C)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.7467	0.6241	4	1	1	1	1
